timeIDX,timeA,timeB,time,day2IDX,day2,day1IDX,day1,notes
13.25,4.81818181818182,4.553264604811,4.68197879858657,5.9,404.8902,5.7,401.3346,
13.5,4.90909090909091,4.63917525773196,4.77031802120141,5.8,403.1124,5.9,404.8902,
13.75,5,4.72508591065292,4.85865724381625,5.4,396.0012,5.1,390.6678,
14,5.09090909090909,4.81099656357388,4.9469964664311,5.4,396.0012,4.9,387.1122,
14.25,5.18181818181818,4.89690721649484,5.03533568904594,5.2,392.4456,5.7,401.3346,
14.5,5.27272727272727,4.98281786941581,5.12367491166078,5.0,388.9,5.2,392.4456,
14.75,5.36363636363636,5.06872852233677,5.21201413427562,4.9,387.1122,5.1,390.6678,
15,5.45454545454545,5.15463917525773,5.30035335689046,5.1,390.6678,5.6,399.5568,
15.25,5.54545454545455,5.24054982817869,5.3886925795053,5.0,388.9,5.2,392.4456,
15.5,5.63636363636364,5.32646048109966,5.47703180212014,4.8,385.3344,5.0,388.9,
15.75,5.72727272727273,5.41237113402062,5.56537102473498,5.5,397.779,5.5,397.779,
16,5.81818181818182,5.49828178694158,5.65371024734982,5.3,394.2234,5.3,394.2234,
16.25,5.90909090909091,5.58419243986254,5.74204946996466,5.2,392.4456,4.6,381.7788,
16.5,6,5.6701030927835,5.8303886925795,5.0,388.9,4.7,383.5566,
16.75,6.09090909090909,5.75601374570447,5.91872791519435,5.6,399.5568,5.2,392.4456,
17,6.18181818181818,5.84192439862543,6.00706713780919,5.5,397.779,4.9,387.1122,
