#x	y	prime
16.5	5.5	1741
18.5	5.5	1747
17.5	4.5	1753
19.5	4.5	1759
18.5	2.5	1777
17.5	1.5	1783
18.5	1.5	1787
19.5	1.5	1789
16.25	9.25	1801
16.25	8.25	1811
17.25	7.25	1823
16.25	6.25	1831
18.25	5.25	1847
16.25	3.25	1861
18.25	3.25	1867
16.25	2.25	1871
17.25	2.25	1873
18.25	2.25	1877
19.25	2.25	1879
19.25	1.25	1889
16.75	9.25	1901
18.75	9.25	1907
17.75	8.25	1913
16.75	6.25	1931
17.75	6.25	1933
19.75	5.25	1949
16.75	4.25	1951
17.75	2.25	1973
19.75	2.25	1979
18.75	1.25	1987
17.75	0.25	1993
18.75	0.25	1997
19.75	0.25	1999
